TransactionID,UserID,MerchantID,DeviceID,TransactionAmount,TransactionDate,PaymentMethod,DeviceType,IP_Address,LocationLat,LocationLon,IP_Country,BillingCountry,IsFraud
50da0c2c-f390-4931-90d1-0d4f62e52adf,U001672,M00281,e674c954-34d3-fd07-7adb-f9cd1659ef44,32.85,2026-08-07T11:01:49+00:00,CREDIT_CARD,MOBILE,45.128.115.149,-30.323515,10.804949,FR,FR,False
a4548c06-5f61-43a3-a8fb-c7fa00c773a6,U000783,M00108,859f7c4d-5ee8-49aa-a720-9d0b5fcc4557,359.17,2026-08-07T05:58:49+00:00,DEBIT_CARD,TABLET,236.9.126.169,13.759914,-76.253115,DE,FR,True
bbd0613e-f8fe-4e16-bb8b-8a8d65a96d4d,U002567,M00150,86a59493-726d-28a2-b6bc-a80b88ed0b74,215.72,2026-08-07T14:52:11+00:00,UPI,DESKTOP,229.7.95.15,-17.281463,-51.481763,AU,AU,False
b3ff23a0-0fba-4894-8205-5057f80cdb5a,U001222,M00151,6331dfc0-6405-7a06-3cce-8d798898c3f4,41.32,2026-08-07T15:25:26+00:00,CREDIT_CARD,DESKTOP,200.214.213.15,-5.641345,28.317122,IN,IN,False
d7c102b2-d5e5-4235-ba2d-20943e1ead48,U000655,M00306,89fe111e-fab9-d093-ac42-493bcc8b7d3f,296.28,2026-08-07T14:47:05+00:00,UPI,MOBILE,111.108.1.222,-32.210916,-169.602544,AU,AU,False
1bc617a1-b05c-4204-a038-0c8a88118b8b,U001810,M00119,3547d7a0-ba22-f3d6-a7cb-0356c0d7f3e9,70.08,2026-08-07T15:06:26+00:00,DIGITAL_WALLET,DESKTOP,104.235.65.124,22.585564,-118.028375,US,US,False
51df0c5b-6d33-4022-80e9-5a16847e8634,U000304,M00278,4a0c0132-0d66-58ff-0cf9-efade0fdf60f,174.58,2026-08-07T08:50:16+00:00,BANK_TRANSFER,TABLET,141.202.101.21,-3.877749,119.772734,US,US,False
0e398ab4-7ea2-4559-90ed-503427d12370,U002751,M00171,8a10f05f-9d28-66d2-d11f-332d054617cb,186.04,2026-08-07T18:57:32+00:00,DIGITAL_WALLET,MOBILE,20.123.164.173,-40.252755,94.825598,AU,AU,False
ad69164f-b1df-47d7-98fe-5e9525388407,U000994,M00312,48ae778f-b171-e3ce-fda2-0d2f4a76ce7f,298.99,2026-08-07T10:17:01+00:00,CREDIT_CARD,DESKTOP,119.32.230.121,36.219412,18.304593,JP,JP,False
ef971e80-c901-44fb-8779-7277a6cbe022,U003042,M00031,951faec4-8579-1e1a-ccf5-541d398e3a0b,161.31,2026-08-07T11:31:00+00:00,DIGITAL_WALLET,DESKTOP,233.13.75.234,0.994812,-52.179543,DE,DE,False
c8b074f4-c399-4bee-aeb6-833bc22dcd23,U002053,M00121,38d148cd-e5e9-fe5a-3133-4b1f433d4fde,4.13,2026-08-07T16:56:55+00:00,UPI,MOBILE,64.202.254.100,42.522764,-83.613714,CA,CA,False
adf6ce88-fc44-4faa-bcae-8f70348b5f95,U003176,M00258,5fa07ba9-5357-c896-5533-8b22ce1d612a,185.52,2026-08-07T14:11:09+00:00,UPI,TABLET,36.113.172.213,-39.378387,-65.223259,US,US,False
