TransactionID,UserID,MerchantID,DeviceID,TransactionAmount,TransactionDate,PaymentMethod,DeviceType,IP_Address,LocationLat,LocationLon,IP_Country,BillingCountry,IsFraud
cba17a49-3e3e-41b2-bd1f-6a0d8acd2bac,U004253,M00243,3313ef4c-1a17-2381-dfd9-e16c78b29492,231.35,2026-08-24T18:22:36+00:00,BANK_TRANSFER,DESKTOP,163.125.122.34,24.333363,80.393285,IN,IN,False
f2d2b0d8-e368-4813-8283-1e50d2c1bee6,U006626,M00003,6a9477f6-159b-9c0a-7d59-fd7f7436db7a,30.3,2026-08-24T12:31:46+00:00,CREDIT_CARD,TABLET,247.243.216.187,18.133168,1.808456,US,US,False
f5afc878-0ffc-4c5b-be2d-e5dd70d07d37,U005788,M00068,f9a47068-6539-95d3-bcb7-6ff73c068b3c,85.6,2026-08-24T19:21:22+00:00,DIGITAL_WALLET,MOBILE,152.101.161.239,46.05849,-110.961464,IN,IN,False
13c6f3e2-5ab7-4144-bd76-5ea726284d76,U000601,M00290,75db297b-5bab-0522-ea7f-5476d453af04,31.06,2026-08-24T13:59:06+00:00,UPI,MOBILE,31.193.74.205,13.143372,79.592379,GB,GB,False
42c739b4-8f70-4e87-a29d-433d3ac3c7eb,U000006,M00220,e91b4ad1-69fc-5360-df5c-a32ebad5ccc2,106.0,2026-08-24T15:10:56+00:00,UPI,DESKTOP,196.106.153.36,43.577442,-5.291622,AU,AU,False
5f9c32af-15ea-4e17-8930-d640fa908231,U003326,M00035,36e38c49-415a-c197-65d9-8fbaf0ce1d66,180.28,2026-08-24T16:17:16+00:00,DEBIT_CARD,TABLET,111.133.198.39,-48.065947,-46.869499,GB,GB,False
6302f4fb-3a85-4864-8438-2c3071e5df2d,U003242,M00243,0ff79830-6c33-22e3-f011-6df6cffc3216,168.25,2026-08-24T07:46:04+00:00,UPI,DESKTOP,192.15.159.10,20.056824,86.23747,US,US,False
e15674d3-0fcf-4aa1-9738-204c577900c8,U000095,M00243,99e41110-034b-17ba-ce50-4e2123b64d9b,259.09,2026-08-24T20:34:45+00:00,CREDIT_CARD,TABLET,52.35.133.29,6.789094,168.828181,IN,IN,False
d0319252-9f48-479e-9174-d2632fa0950f,U006289,M00289,0694510b-a9d9-460b-59f8-cf15db16e623,119.57,2026-08-24T18:32:13+00:00,DEBIT_CARD,MOBILE,122.192.195.33,-28.46179,37.698438,IN,IN,False
ff90163c-c227-4b14-ae6b-b062187a342c,U003319,M00064,3a99ca8c-bf72-f20c-22b7-126433ceebfa,182.82,2026-08-24T17:47:16+00:00,CREDIT_CARD,DESKTOP,191.151.236.195,35.207558,6.356076,BR,BR,False
37a11e7c-7938-47ac-8cc0-fc775add8850,U002436,M00026,d84bfd8a-0989-d804-120b-f2fa62b539c1,211.22,2026-08-24T20:36:00+00:00,UPI,MOBILE,32.19.34.74,-5.4539,68.495546,AU,AU,False
3c2effd8-28fa-4dc7-b59b-3645dcb8d963,U007558,M00181,7c675406-f634-3aaa-78a7-cefda42c5708,35.16,2026-08-24T09:36:47+00:00,DIGITAL_WALLET,DESKTOP,204.252.194.221,33.399628,112.607391,FR,FR,False
df445fa8-fac2-44c3-b460-2612a3fabc48,U003808,M00316,7d9e7fef-2706-45c1-a5b5-e66ae73168b2,396.13,2026-08-24T23:48:02+00:00,BANK_TRANSFER,MOBILE,20.218.253.2,-8.298666,-90.02683,GB,AU,True
90ef2f12-960b-45a6-84e3-d7ebea429acd,U005841,M00011,11260c60-71b3-770e-428a-649f3409b683,22.31,2026-08-24T13:28:36+00:00,DIGITAL_WALLET,TABLET,60.244.46.48,-14.358154,125.363717,IN,IN,False
